P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
MA,2020-02-28,290.25,2020-11-21,397.06,36.8,35.0,2020-03-02,306.74,OPEN,5.68,477.0,1.0,15.0
MA,2020-02-28,290.25,2021-02-06,408.38,40.7,30.0,2020-03-02,306.74,OPEN,5.68,477.0,1.0,14.0
ASX-VCX,2020-03-02,2.19,2020-12-22,2.6,18.72,16.0,2020-03-02,2.19,OPEN,0.0,0.0,0.0,0.0
ASX-VCX,2020-03-02,2.19,2020-12-22,2.48,13.24,11.0,2020-03-02,2.19,OPEN,0.0,0.0,0.0,0.0
ASX-CWN,2020-03-02,10.24,2020-05-08,11.12,8.59,32.0,2020-03-02,10.24,OPEN,0.0,0.0,1.0,0.0
ASX-CWN,2020-03-02,10.24,2020-06-25,11.1,8.4,18.0,2020-03-02,10.24,OPEN,0.0,0.0,1.0,0.0
ASX-CWN,2020-03-02,10.24,2021-01-01,12.39,21.0,17.0,2020-03-02,10.24,OPEN,0.0,0.0,0.0,0.0
ASX-ORG,2020-03-02,7.01,2020-04-15,7.64,8.99,51.0,2020-03-02,7.01,OPEN,0.0,0.0,2.0,0.0
ASX-CWN,2020-03-02,10.24,2020-05-03,10.85,5.96,24.0,2020-03-02,10.24,OPEN,0.0,0.0,2.0,0.0
ASX-CWN,2020-03-02,10.24,2020-08-22,11.16,8.98,13.0,2020-03-02,10.24,OPEN,0.0,0.0,1.0,0.0
ASX-ORG,2020-03-02,7.01,2020-05-02,7.6,8.42,35.0,2020-03-02,7.01,OPEN,0.0,0.0,2.0,0.0
ASX-CWN,2020-03-02,10.24,2020-05-13,10.77,5.18,18.0,2020-03-02,10.24,OPEN,0.0,0.0,1.0,0.0
ASX-VCX,2020-03-02,2.19,2020-04-24,2.24,2.28,11.0,2020-03-02,2.19,OPEN,0.0,0.0,2.0,0.0
ASX-ORG,2020-03-02,7.01,2020-05-07,7.45,6.28,24.0,2020-03-02,7.01,OPEN,0.0,0.0,2.0,0.0
ASX-CWN,2020-03-02,10.24,2020-05-13,10.77,5.18,18.0,2020-03-02,10.24,OPEN,0.0,0.0,1.0,0.0
ASX-CWN,2020-03-02,10.24,2020-08-25,10.99,7.32,10.0,2020-03-02,10.24,OPEN,0.0,0.0,1.0,0.0
1415.HK,2020-03-02,1.77,2020-12-13,2.51,41.81,37.0,2020-03-02,1.77,OPEN,0.0,0.0,0.0,0.0
2588.HK,2020-03-02,69.5,2020-04-18,75.19,8.19,44.0,2020-03-02,69.5,OPEN,0.0,0.0,2.0,0.0
2588.HK,2020-03-02,69.5,2020-05-04,76.74,10.42,42.0,2020-03-02,69.5,OPEN,0.0,0.0,2.0,0.0
2588.HK,2020-03-02,69.5,2020-07-17,83.31,19.87,37.0,2020-03-02,69.5,OPEN,0.0,0.0,1.0,0.0
2588.HK,2020-03-02,69.5,2020-08-10,81.65,17.48,27.0,2020-03-02,69.5,OPEN,0.0,0.0,1.0,0.0
2208.HK,2020-03-02,7.92,2021-02-06,10.59,33.71,25.0,2020-03-02,7.92,OPEN,0.0,0.0,0.0,0.0
0435.HK,2020-03-02,4.57,2020-06-14,4.66,1.97,5.0,2020-03-02,4.57,OPEN,0.0,0.0,1.0,0.0
0435.HK,2020-03-02,4.57,2020-04-11,4.66,1.97,12.0,2020-03-02,4.57,OPEN,0.0,0.0,2.0,0.0
0435.HK,2020-03-02,4.57,2020-06-08,4.76,4.16,11.0,2020-03-02,4.57,OPEN,0.0,0.0,1.0,0.0
0435.HK,2020-03-02,4.57,2020-07-20,5.1,11.6,21.0,2020-03-02,4.57,OPEN,0.0,0.0,1.0,0.0
0435.HK,2020-03-02,4.57,2020-12-21,5.29,15.75,14.0,2020-03-02,4.57,OPEN,0.0,0.0,0.0,0.0
0857.HK,2020-03-02,3.1,2020-11-26,4.96,60.0,56.0,2020-03-02,3.1,OPEN,0.0,0.0,0.0,0.0
2800.HK,2020-03-02,26.65,2021-01-02,31.66,18.8,15.0,2020-03-02,26.65,OPEN,0.0,0.0,0.0,0.0
2208.HK,2020-03-02,7.92,2021-01-25,10.56,33.33,26.0,2020-03-02,7.92,OPEN,0.0,0.0,0.0,0.0
2800.HK,2020-03-02,26.65,2020-08-08,28.65,7.5,12.0,2020-03-02,26.65,OPEN,0.0,0.0,1.0,0.0
NKE,2020-03-02,92.68,2021-01-17,112.77,21.68,17.0,2020-03-02,92.68,OPEN,0.0,0.0,0.0,0.0
V,2020-03-02,192.33,2020-08-17,227.16,18.11,27.0,2020-03-02,192.33,OPEN,0.0,0.0,1.0,0.0
NKE,2020-03-02,92.68,2021-01-21,115.11,24.2,19.0,2020-03-02,92.68,OPEN,0.0,0.0,0.0,0.0
V,2020-03-02,192.33,2021-02-01,240.39,24.99,19.0,2020-03-02,192.33,OPEN,0.0,0.0,0.0,0.0
XAR,2020-03-02,102.75,2020-10-27,118.88,15.7,17.0,2020-03-02,102.75,OPEN,0.0,0.0,0.0,0.0
LULU,2020-03-02,228.9,2021-02-24,340.15,48.6,34.0,2020-03-02,228.9,OPEN,0.0,0.0,0.0,0.0
XAR,2020-03-02,102.75,2020-05-30,120.86,17.63,50.0,2020-03-02,102.75,OPEN,0.0,0.0,1.0,0.0
XAR,2020-03-02,102.75,2020-05-13,122.41,19.13,67.0,2020-03-02,102.75,OPEN,0.0,0.0,1.0,0.0
XAR,2020-03-02,102.75,2020-03-29,111.72,8.73,81.0,2020-03-02,102.75,OPEN,0.0,0.0,4.0,0.0
XAR,2020-03-02,102.75,2020-05-09,125.83,22.46,83.0,2020-03-02,102.75,OPEN,0.0,0.0,1.0,0.0
XAR,2020-03-02,102.75,2020-08-26,138.38,34.68,49.0,2020-03-02,102.75,OPEN,0.0,0.0,1.0,0.0
MA,2020-03-02,306.74,2020-10-31,396.31,29.2,30.0,2020-03-02,306.74,OPEN,0.0,0.0,0.0,0.0
JNJ,2020-03-02,140.02,2021-01-24,157.54,12.51,10.0,2020-03-02,140.02,OPEN,0.0,0.0,0.0,0.0
XAR,2020-03-02,102.75,2020-08-09,114.26,11.2,18.0,2020-03-02,102.75,OPEN,0.0,0.0,1.0,0.0
V,2020-03-02,192.33,2020-06-20,215.49,12.04,28.0,2020-03-02,192.33,OPEN,0.0,0.0,1.0,0.0
AMZN,2020-03-02,1953.95,2021-01-24,3173.61,62.42,48.0,2020-03-02,1953.95,OPEN,0.0,0.0,0.0,0.0
GOOG,2020-03-02,1389.11,2020-12-29,1726.66,24.3,20.0,2020-03-02,1389.11,OPEN,0.0,0.0,0.0,0.0
KO,2020-03-02,55.92,2021-02-02,62.17,11.18,8.0,2020-03-02,55.92,OPEN,0.0,0.0,0.0,0.0
LULU,2020-03-02,228.9,2021-02-16,355.12,55.14,40.0,2020-03-02,228.9,OPEN,0.0,0.0,0.0,0.0
AAPL,2020-03-02,298.81,2020-12-16,379.16,26.89,23.0,2020-03-02,298.81,OPEN,0.0,0.0,0.0,0.0
MA,2020-03-02,306.74,2020-08-02,360.94,17.67,29.0,2020-03-02,306.74,OPEN,0.0,0.0,1.0,0.0
MA,2020-03-02,306.74,2020-11-24,419.62,36.8,35.0,2020-03-02,306.74,OPEN,0.0,0.0,0.0,0.0
DIS,2020-03-02,119.98,2020-05-24,132.7,10.6,32.0,2020-03-02,119.98,OPEN,0.0,0.0,1.0,0.0
DIS,2020-03-02,119.98,2021-01-30,135.3,12.77,10.0,2020-03-02,119.98,OPEN,0.0,0.0,0.0,0.0
MA,2020-03-02,306.74,2020-07-22,348.33,13.56,24.0,2020-03-02,306.74,OPEN,0.0,0.0,1.0,0.0
MA,2020-03-02,306.74,2021-02-09,431.58,40.7,30.0,2020-03-02,306.74,OPEN,0.0,0.0,0.0,0.0
JNJ,2020-03-02,140.02,2020-07-28,150.52,7.5,13.0,2020-03-02,140.02,OPEN,0.0,0.0,1.0,0.0
AMZN,2020-03-02,1953.95,2020-12-31,2893.41,48.08,40.0,2020-03-02,1953.95,OPEN,0.0,0.0,0.0,0.0
V,2020-03-02,192.33,2020-05-09,203.66,5.89,22.0,2020-03-02,192.33,OPEN,0.0,0.0,1.0,0.0
IXN,2020-03-02,211.57,2020-11-18,239.14,13.03,13.0,2020-03-02,211.57,OPEN,0.0,0.0,0.0,0.0
NKE,2020-03-02,92.68,2020-07-05,102.23,10.3,21.0,2020-03-02,92.68,OPEN,0.0,0.0,1.0,0.0
GOOG,2020-03-02,1389.11,2020-06-04,1537.74,10.7,29.0,2020-03-02,1389.11,OPEN,0.0,0.0,1.0,0.0
V,2020-03-02,192.33,2020-07-24,207.33,7.8,14.0,2020-03-02,192.33,OPEN,0.0,0.0,1.0,0.0
UPS,2020-03-02,92.75,2020-05-07,95.85,3.34,13.0,2020-03-02,92.75,OPEN,0.0,0.0,2.0,0.0
JNJ,2020-03-02,140.02,2020-07-19,148.63,6.15,11.0,2020-03-02,140.02,OPEN,0.0,0.0,1.0,0.0
GOOG,2020-03-02,1389.11,2020-12-10,1685.27,21.32,19.0,2020-03-02,1389.11,OPEN,0.0,0.0,0.0,0.0
AAPL,2020-03-02,298.81,2021-01-03,381.88,27.8,23.0,2020-03-02,298.81,OPEN,0.0,0.0,0.0,0.0
XAR,2020-03-02,102.75,2020-07-26,110.17,7.22,12.0,2020-03-02,102.75,OPEN,0.0,0.0,1.0,0.0
RIO,2020-03-02,48.77,2021-02-24,64.5,32.25,23.0,2020-03-02,48.77,OPEN,0.0,0.0,0.0,0.0
RIO,2020-03-02,48.77,2020-07-05,59.41,21.82,44.0,2020-03-02,48.77,OPEN,0.0,0.0,1.0,0.0
ITA,2020-03-02,207.17,2021-01-02,264.58,27.71,23.0,2020-03-02,207.17,OPEN,0.0,0.0,0.0,0.0
MMM,2020-03-02,153.02,2020-11-17,174.34,13.93,14.0,2020-03-02,153.02,OPEN,0.0,0.0,0.0,0.0
XAR,2020-03-02,102.75,2020-07-29,112.25,9.25,16.0,2020-03-02,102.75,OPEN,0.0,0.0,1.0,0.0
NKE,2020-03-02,92.68,2020-07-08,100.57,8.51,17.0,2020-03-02,92.68,OPEN,0.0,0.0,1.0,0.0
JNJ,2020-03-02,140.02,2020-05-16,148.28,5.9,20.0,2020-03-02,140.02,OPEN,0.0,0.0,1.0,0.0
NKE,2020-03-02,92.68,2020-05-16,98.13,5.88,20.0,2020-03-02,92.68,OPEN,0.0,0.0,1.0,0.0
QQQ,2020-03-02,216.42,2021-02-20,234.64,8.42,6.0,2020-03-02,216.42,OPEN,0.0,0.0,0.0,0.0
DIS,2020-03-02,119.98,2020-09-21,129.63,8.04,10.0,2020-03-02,119.98,OPEN,0.0,0.0,0.0,0.0
AAPL,2020-03-02,298.81,2020-11-25,376.56,26.02,24.0,2020-03-02,298.81,OPEN,0.0,0.0,0.0,0.0
ITA,2020-03-02,207.17,2020-10-20,229.17,10.62,12.0,2020-03-02,207.17,OPEN,0.0,0.0,0.0,0.0
NKE,2020-03-02,92.68,2020-05-14,97.66,5.37,19.0,2020-03-02,92.68,OPEN,0.0,0.0,1.0,0.0
MA,2020-03-02,306.74,2020-05-06,318.18,3.73,14.0,2020-03-02,306.74,OPEN,0.0,0.0,2.0,0.0
GOOG,2020-03-02,1389.11,2020-05-02,1471.62,5.94,25.0,2020-03-02,1389.11,OPEN,0.0,0.0,2.0,0.0
UPS,2020-03-02,92.75,2020-09-05,98.97,6.71,9.0,2020-03-02,92.75,OPEN,0.0,0.0,1.0,0.0
QQQ,2020-03-02,216.42,2021-01-12,236.83,9.43,8.0,2020-03-02,216.42,OPEN,0.0,0.0,0.0,0.0
JNJ,2020-03-02,140.02,2020-05-15,146.1,4.34,15.0,2020-03-02,140.02,OPEN,0.0,0.0,1.0,0.0
DIS,2020-03-02,119.98,2020-08-18,128.82,7.37,11.0,2020-03-02,119.98,OPEN,0.0,0.0,1.0,0.0
MA,2020-03-02,306.74,2020-05-11,324.44,5.77,21.0,2020-03-02,306.74,OPEN,0.0,0.0,1.0,0.0
