NEW,P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,MA,2020-02-28,290.25,2020-11-21,397.06,36.8,35.0,2020-03-04,302.36,OPEN,4.17,210.0,2.0,11.0
-,MA,2020-02-28,290.25,2021-02-06,408.38,40.7,30.0,2020-03-04,302.36,OPEN,4.17,210.0,1.0,10.0
+,KO,2020-03-02,55.92,2020-08-19,58.29,4.24,6.0,2020-03-04,58.29,CLOSED,4.24,534.0,1.0,100.0
-,ASX-VCX,2020-03-02,2.19,2020-04-24,2.24,2.28,11.0,2020-03-03,2.24,CLOSED,2.28,575.0,2.0,100.0
-,0435.HK,2020-03-02,4.57,2020-06-14,4.66,1.97,5.0,2020-03-03,4.66,CLOSED,1.97,496.0,1.0,100.0
-,0435.HK,2020-03-02,4.57,2020-04-11,4.66,1.97,12.0,2020-03-03,4.66,CLOSED,1.97,496.0,2.0,100.0
-,UPS,2020-03-02,92.75,2020-05-07,95.85,3.34,13.0,2020-03-03,95.85,CLOSED,3.34,842.0,2.0,100.0
-,ASX-VCX,2020-03-02,2.19,2020-12-22,2.6,18.72,16.0,2020-03-05,2.23,OPEN,1.83,154.0,1.0,10.0
-,ASX-VCX,2020-03-02,2.19,2020-12-22,2.48,13.24,11.0,2020-03-05,2.23,OPEN,1.83,154.0,1.0,14.0
-,ASX-CWN,2020-03-02,10.24,2020-05-08,11.12,8.59,32.0,2020-03-05,9.92,OPEN,-3.13,-263.0,4.0,-36.0
-,ASX-CWN,2020-03-02,10.24,2020-06-25,11.1,8.4,18.0,2020-03-05,9.92,OPEN,-3.13,-263.0,3.0,-37.0
-,ASX-CWN,2020-03-02,10.24,2021-01-01,12.39,21.0,17.0,2020-03-05,9.92,OPEN,-3.13,-263.0,1.0,-15.0
-,ASX-ORG,2020-03-02,7.01,2020-04-15,7.64,8.99,51.0,2020-03-05,7.0,OPEN,-0.14,-12.0,7.0,-2.0
-,ASX-CWN,2020-03-02,10.24,2020-05-03,10.85,5.96,24.0,2020-03-05,9.92,OPEN,-3.13,-263.0,5.0,-52.0
-,ASX-CWN,2020-03-02,10.24,2020-08-22,11.16,8.98,13.0,2020-03-05,9.92,OPEN,-3.13,-263.0,2.0,-35.0
-,ASX-ORG,2020-03-02,7.01,2020-05-02,7.6,8.42,35.0,2020-03-05,7.0,OPEN,-0.14,-12.0,5.0,-2.0
-,ASX-CWN,2020-03-02,10.24,2020-05-13,10.77,5.18,18.0,2020-03-05,9.92,OPEN,-3.13,-263.0,4.0,-60.0
-,ASX-ORG,2020-03-02,7.01,2020-05-07,7.45,6.28,24.0,2020-03-05,7.0,OPEN,-0.14,-12.0,5.0,-2.0
-,ASX-CWN,2020-03-02,10.24,2020-05-13,10.77,5.18,18.0,2020-03-05,9.92,OPEN,-3.13,-263.0,4.0,-60.0
-,ASX-CWN,2020-03-02,10.24,2020-08-25,10.99,7.32,10.0,2020-03-05,9.92,OPEN,-3.13,-263.0,2.0,-43.0
-,1415.HK,2020-03-02,1.77,2020-12-13,2.51,41.81,37.0,2020-03-05,1.81,OPEN,2.26,190.0,1.0,5.0
