NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-A2M,2020-01-22,AUD,15.59,2020-07-05,23.89,53.24,81.0,2020-07-01,18.72,OPEN,20.08,31.0,98.0,38.0
-,ASX-A2M,2020-01-22,AUD,15.59,2020-10-24,34.02,118.22,108.0,2020-07-01,18.72,OPEN,20.08,31.0,58.0,17.0
-,0175.HK,2020-01-22,HKD,14.1,2020-11-15,18.96,34.47,29.0,2020-06-30,12.2,OPEN,-13.48,-21.0,54.0,-39.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-08-10,19.97,30.44,38.0,2020-06-18,19.97,CLOSED,30.44,52.0,74.0,100.0
-,NFLX,2020-01-23,USD,349.6,2020-08-04,491.61,40.62,53.0,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
-,ASX-NAN,2020-01-28,AUD,6.83,2020-12-18,9.64,41.14,32.0,2020-07-01,6.8,OPEN,-0.44,-1.0,48.0,-1.0
-,0268.HK,2020-01-29,HKD,8.71,2020-09-12,11.65,33.75,37.0,2020-04-20,11.65,CLOSED,33.75,104.0,36.0,100.0
-,NFLX,2020-01-30,USD,347.74,2020-06-26,495.11,42.38,72.0,2020-02-17,495.11,CLOSED,42.38,593.0,12.0,100.0
-,AMZN,2020-01-31,USD,2008.72,2020-08-08,2650.71,31.96,42.0,2020-06-10,2650.71,CLOSED,31.96,61.0,69.0,100.0
-,0175.HK,2020-01-31,HKD,12.54,2020-10-23,18.85,50.32,48.0,2020-06-30,12.2,OPEN,-2.71,-5.0,57.0,-5.0
-,2208.HK,2020-01-31,HKD,8.23,2020-12-26,10.94,32.93,25.0,2020-06-30,6.64,OPEN,-19.32,-32.0,46.0,-59.0
-,0175.HK,2020-01-31,HKD,12.54,2020-11-24,16.86,34.45,29.0,2020-06-30,12.2,OPEN,-2.71,-5.0,51.0,-8.0
-,AMZN,2020-02-03,USD,2004.2,2020-08-13,2651.76,32.31,42.0,2020-06-10,2651.76,CLOSED,32.31,64.0,67.0,100.0
-,0857.HK,2020-02-03,HKD,3.38,2020-10-30,5.39,59.47,56.0,2020-06-30,2.57,OPEN,-23.96,-41.0,55.0,-40.0
-,0175.HK,2020-02-03,HKD,12.6,2020-10-26,18.94,50.32,48.0,2020-06-30,12.2,OPEN,-3.17,-5.0,56.0,-6.0
-,0175.HK,2020-02-03,HKD,12.6,2020-11-27,16.94,34.44,29.0,2020-06-30,12.2,OPEN,-3.17,-5.0,50.0,-9.0
-,LULU,2020-02-03,USD,246.37,2020-10-15,324.81,31.84,31.0,2020-07-01,308.62,OPEN,25.27,43.0,58.0,79.0
-,0288.HK,2020-02-04,HKD,7.45,2020-08-14,11.31,51.81,68.0,2020-06-30,6.64,OPEN,-10.87,-19.0,77.0,-21.0
-,2208.HK,2020-02-04,HKD,8.31,2021-01-11,11.08,33.33,25.0,2020-06-30,6.64,OPEN,-20.1,-34.0,43.0,-60.0
-,0175.HK,2020-02-04,HKD,12.76,2020-10-27,19.18,50.31,48.0,2020-06-30,12.2,OPEN,-4.39,-8.0,55.0,-9.0
-,2208.HK,2020-02-04,HKD,8.31,2020-12-30,11.05,32.97,25.0,2020-06-30,6.64,OPEN,-20.1,-34.0,45.0,-61.0
-,0175.HK,2020-02-04,HKD,12.76,2020-11-28,17.16,34.48,29.0,2020-06-30,12.2,OPEN,-4.39,-8.0,49.0,-13.0
-,MA,2020-02-04,USD,329.12,2020-11-19,428.09,30.07,26.0,2020-07-01,301.17,OPEN,-8.49,-14.0,51.0,-28.0
-,0288.HK,2020-02-05,HKD,7.66,2020-08-15,11.63,51.83,68.0,2020-06-30,6.64,OPEN,-13.32,-23.0,76.0,-26.0
-,0175.HK,2020-02-05,HKD,13.06,2020-10-28,19.63,50.31,48.0,2020-06-30,12.2,OPEN,-6.58,-11.0,55.0,-13.0
-,0175.HK,2020-02-05,HKD,13.06,2020-11-29,17.56,34.46,29.0,2020-06-30,12.2,OPEN,-6.58,-11.0,49.0,-19.0
-,ASX-NAN,2020-02-06,AUD,7.15,2021-01-06,9.87,38.04,29.0,2020-07-01,6.8,OPEN,-4.9,-8.0,44.0,-13.0
-,ASX-REA,2020-02-07,AUD,116.9,2020-08-19,153.45,31.27,41.0,2020-07-01,107.4,OPEN,-8.13,-14.0,75.0,-26.0
-,0753.HK,2020-02-07,HKD,6.97,2021-01-30,9.24,32.57,23.0,2020-06-30,4.62,OPEN,-33.72,-59.0,40.0,-104.0
-,V,2020-02-10,USD,205.99,2020-12-25,274.44,33.23,26.0,2020-07-01,193.78,OPEN,-5.93,-11.0,45.0,-18.0
-,ASX-A2M,2020-02-11,AUD,14.89,2020-08-01,22.17,48.89,72.0,2020-07-01,18.72,OPEN,25.72,46.0,82.0,53.0
-,V,2020-02-14,USD,210.29,2020-12-25,282.73,34.45,28.0,2020-07-01,193.78,OPEN,-7.85,-14.0,44.0,-23.0
-,ASX-A2M,2020-02-18,AUD,15.75,2020-07-31,24.14,53.27,82.0,2020-07-01,18.72,OPEN,18.86,35.0,82.0,35.0
-,ASX-A2M,2020-02-18,AUD,15.75,2020-11-19,34.37,118.22,108.0,2020-07-01,18.72,OPEN,18.86,35.0,49.0,16.0
-,0753.HK,2020-02-20,HKD,6.98,2021-02-11,9.25,32.52,23.0,2020-06-30,4.62,OPEN,-33.81,-65.0,37.0,-104.0
-,3898.HK,2020-02-20,HKD,31.0,2020-11-29,41.29,33.19,30.0,2020-06-30,19.7,OPEN,-36.45,-70.0,46.0,-110.0
-,0857.HK,2020-02-25,HKD,3.19,2020-11-20,5.09,59.56,56.0,2020-06-30,2.57,OPEN,-19.44,-39.0,47.0,-33.0
-,MA,2020-02-28,USD,290.25,2020-11-21,394.74,36.0,34.0,2020-07-01,301.17,OPEN,3.76,8.0,46.0,10.0
-,MA,2020-02-28,USD,290.25,2021-02-06,405.94,39.86,29.0,2020-07-01,301.17,OPEN,3.76,8.0,36.0,9.0
+,AMZN,2020-03-02,USD,1953.95,2020-12-31,2876.41,47.21,39.0,2020-07-01,2876.41,CLOSED,47.21,98.0,40.0,100.0
-,1415.HK,2020-03-02,HKD,1.77,2020-12-13,2.5,41.24,36.0,2020-05-13,2.5,CLOSED,41.24,144.0,25.0,100.0
-,2208.HK,2020-03-02,HKD,7.92,2021-02-06,10.56,33.33,25.0,2020-06-30,6.64,OPEN,-16.16,-34.0,35.0,-48.0
-,0857.HK,2020-03-02,HKD,3.1,2020-11-26,4.95,59.68,56.0,2020-06-30,2.57,OPEN,-17.1,-36.0,45.0,-29.0
-,2208.HK,2020-03-02,HKD,7.92,2021-01-25,10.53,32.95,25.0,2020-06-30,6.64,OPEN,-16.16,-34.0,36.0,-49.0
-,LULU,2020-03-02,USD,228.9,2021-02-24,338.15,47.73,34.0,2020-07-01,308.62,OPEN,34.83,73.0,34.0,73.0
-,XAR,2020-03-02,USD,102.75,2020-12-20,140.68,36.91,32.0,2020-07-01,87.04,OPEN,-15.29,-32.0,41.0,-41.0
-,XAR,2020-03-02,USD,102.75,2020-08-26,137.55,33.87,48.0,2020-07-01,87.04,OPEN,-15.29,-32.0,68.0,-45.0
-,AMZN,2020-03-02,USD,1953.95,2021-01-24,3154.85,61.46,47.0,2020-07-01,2878.7,OPEN,47.33,99.0,37.0,77.0
-,LULU,2020-03-02,USD,228.9,2021-02-16,353.1,54.26,39.0,2020-07-01,308.62,OPEN,34.83,73.0,34.0,64.0
-,MA,2020-03-02,USD,306.74,2020-11-24,417.17,36.0,34.0,2020-07-01,301.17,OPEN,-1.82,-4.0,45.0,-5.0
-,MA,2020-03-02,USD,306.74,2021-02-09,429.01,39.86,29.0,2020-07-01,301.17,OPEN,-1.82,-4.0,35.0,-5.0
-,RIO,2020-03-02,USD,48.77,2021-02-24,64.12,31.47,22.0,2020-07-01,55.98,OPEN,14.78,31.0,34.0,47.0
-,RIO,2020-03-02,USD,48.77,2021-01-20,67.83,39.08,30.0,2020-07-01,55.98,OPEN,14.78,31.0,37.0,38.0
-,ASX-A2M,2020-03-03,AUD,16.13,2020-08-22,24.02,48.92,72.0,2020-07-01,18.72,OPEN,16.06,34.0,70.0,33.0
-,ASX-REA,2020-03-03,AUD,98.55,2020-12-11,131.51,33.44,30.0,2020-07-01,107.4,OPEN,8.98,19.0,42.0,27.0
-,ASX-REA,2020-03-03,AUD,98.55,2020-11-24,135.48,37.47,35.0,2020-07-01,107.4,OPEN,8.98,19.0,45.0,24.0
-,ASX-REA,2020-03-03,AUD,98.55,2021-01-04,137.91,39.94,33.0,2020-07-01,107.4,OPEN,8.98,19.0,39.0,22.0
-,ASX-REA,2020-03-03,AUD,98.55,2020-11-07,138.15,40.18,41.0,2020-07-01,107.4,OPEN,8.98,19.0,48.0,22.0
-,0173.HK,2020-03-03,HKD,3.78,2021-03-02,5.62,48.68,34.0,2020-06-30,3.34,OPEN,-11.64,-25.0,33.0,-24.0
-,2208.HK,2020-03-04,HKD,7.74,2021-01-27,10.29,32.95,25.0,2020-06-30,6.64,OPEN,-14.21,-30.0,36.0,-43.0
-,ASX-REA,2020-03-05,AUD,100.8,2020-12-13,134.51,33.44,30.0,2020-07-01,107.4,OPEN,6.55,14.0,42.0,20.0
-,ASX-REA,2020-03-05,AUD,100.8,2020-11-26,138.57,37.47,35.0,2020-07-01,107.4,OPEN,6.55,14.0,44.0,17.0
-,ASX-REA,2020-03-05,AUD,100.8,2021-01-06,141.06,39.94,33.0,2020-07-01,107.4,OPEN,6.55,14.0,38.0,16.0
-,ASX-REA,2020-03-05,AUD,100.8,2020-11-09,141.3,40.18,41.0,2020-07-01,107.4,OPEN,6.55,14.0,47.0,16.0
-,2208.HK,2020-03-05,HKD,7.96,2021-01-28,10.58,32.91,25.0,2020-06-30,6.64,OPEN,-16.58,-36.0,36.0,-50.0
+,AMZN,2020-03-10,USD,1891.82,2021-01-08,2801.41,48.08,40.0,2020-07-01,2801.41,CLOSED,48.08,107.0,37.0,100.0
-,LULU,2020-03-10,USD,203.81,2021-03-04,302.86,48.6,34.0,2020-06-01,302.86,CLOSED,48.6,148.0,23.0,100.0
-,LULU,2020-03-10,USD,203.81,2021-02-24,316.19,55.14,40.0,2020-06-03,316.19,CLOSED,55.14,163.0,24.0,100.0
-,TSLA,2020-03-10,USD,645.0,2020-12-21,878.88,36.26,32.0,2020-06-01,878.88,CLOSED,36.26,110.0,29.0,100.0
