NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-A2M,2020-06-10,AUD,17.99,2021-06-10,41.01,127.96,88.0,2020-06-11,17.84,OPEN,-0.83,-209.0,0.0,-1.0
-,ASX-CTD,2020-06-10,AUD,14.5,2021-06-10,19.34,33.38,23.0,2020-06-11,14.03,OPEN,-3.24,-816.0,0.0,-10.0
-,ASX-EVN,2020-06-10,AUD,5.29,2021-06-10,6.8,28.54,20.0,2020-06-11,5.47,OPEN,3.4,857.0,0.0,12.0
-,ASX-MFG,2020-06-10,AUD,59.98,2021-06-10,81.21,35.4,24.0,2020-06-11,59.65,OPEN,-0.55,-139.0,0.0,-2.0
-,ASX-NAN,2020-06-10,AUD,6.92,2021-06-10,9.32,34.68,24.0,2020-06-11,7.01,OPEN,1.3,328.0,0.0,4.0
-,ASX-NAN,2020-06-10,AUD,6.92,2021-06-10,9.36,35.26,24.0,2020-06-11,7.01,OPEN,1.3,328.0,0.0,4.0
-,ASX-NST,2020-06-10,AUD,12.96,2021-06-10,19.32,49.07,34.0,2020-06-11,13.73,OPEN,5.94,1497.0,0.0,12.0
-,ASX-NST,2020-06-10,AUD,12.96,2021-06-10,18.76,44.75,31.0,2020-06-11,13.73,OPEN,5.94,1497.0,0.0,13.0
-,ASX-REA,2020-06-10,AUD,107.0,2021-06-10,151.27,41.37,29.0,2020-06-11,105.63,OPEN,-1.28,-323.0,0.0,-3.0
-,ASX-REA,2020-06-10,AUD,107.0,2021-06-10,149.45,39.67,27.0,2020-06-11,105.63,OPEN,-1.28,-323.0,0.0,-3.0
-,ASX-RMD,2020-06-10,AUD,23.22,2021-06-10,28.96,24.72,17.0,2020-06-11,23.84,OPEN,2.67,673.0,0.0,11.0
-,ASX-SDF,2020-06-10,AUD,3.39,2021-06-10,3.91,15.34,11.0,2020-06-11,3.37,OPEN,-0.59,-149.0,0.0,-4.0
-,ASX-SDF,2020-06-10,AUD,3.39,2021-06-10,3.97,17.11,12.0,2020-06-11,3.37,OPEN,-0.59,-149.0,0.0,-3.0
+,ASX-A2M,2020-06-11,AUD,17.84,2021-06-11,33.32,86.77,60.0,2020-06-11,17.84,OPEN,0.0,0.0,0.0,0.0
+,ASX-CCP,2020-06-11,AUD,19.44,2021-06-11,26.41,35.85,25.0,2020-06-11,19.44,OPEN,0.0,0.0,0.0,0.0
+,ASX-CCP,2020-06-11,AUD,19.44,2021-06-11,26.27,35.13,24.0,2020-06-11,19.44,OPEN,0.0,0.0,0.0,0.0
+,ASX-CSL,2020-06-11,AUD,290.69,2021-06-11,390.46,34.32,24.0,2020-06-11,290.69,OPEN,0.0,0.0,0.0,0.0
+,ASX-EVN,2020-06-11,AUD,5.47,2021-06-11,6.56,19.93,14.0,2020-06-11,5.47,OPEN,0.0,0.0,0.0,0.0
+,ASX-MFG,2020-06-11,AUD,59.65,2021-06-11,79.26,32.88,23.0,2020-06-11,59.65,OPEN,0.0,0.0,0.0,0.0
+,ASX-MFG,2020-06-11,AUD,59.65,2021-06-11,77.6,30.09,21.0,2020-06-11,59.65,OPEN,0.0,0.0,0.0,0.0
+,ASX-MFG,2020-06-11,AUD,59.65,2021-06-11,77.2,29.42,20.0,2020-06-11,59.65,OPEN,0.0,0.0,0.0,0.0
+,ASX-MFG,2020-06-11,AUD,59.65,2021-06-11,80.76,35.39,24.0,2020-06-11,59.65,OPEN,0.0,0.0,0.0,0.0
+,ASX-NST,2020-06-11,AUD,13.73,2021-06-11,21.74,58.34,40.0,2020-06-11,13.73,OPEN,0.0,0.0,0.0,0.0
+,ASX-NST,2020-06-11,AUD,13.73,2021-06-11,18.96,38.09,26.0,2020-06-11,13.73,OPEN,0.0,0.0,0.0,0.0
+,ASX-NST,2020-06-11,AUD,13.73,2021-06-11,22.94,67.08,46.0,2020-06-11,13.73,OPEN,0.0,0.0,0.0,0.0
+,ASX-NST,2020-06-11,AUD,13.73,2021-06-11,20.27,47.63,33.0,2020-06-11,13.73,OPEN,0.0,0.0,0.0,0.0
+,ASX-NST,2020-06-11,AUD,13.73,2021-06-11,21.42,56.01,39.0,2020-06-11,13.73,OPEN,0.0,0.0,0.0,0.0
+,ASX-NXT,2020-06-11,AUD,9.15,2021-06-11,11.44,25.03,17.0,2020-06-11,9.15,OPEN,0.0,0.0,0.0,0.0
+,ASX-SDF,2020-06-11,AUD,3.37,2021-06-11,3.89,15.43,11.0,2020-06-11,3.37,OPEN,0.0,0.0,0.0,0.0
