NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,ASX-A2M,2020-06-09,AUD,17.63,2021-06-09,37.58,113.16,78.0,2020-06-09,17.63,OPEN,0.0,0.0,0.0,0.0
+,ASX-A2M,2020-06-09,AUD,17.63,2021-06-09,42.15,139.08,96.0,2020-06-09,17.63,OPEN,0.0,0.0,0.0,0.0
+,ASX-APA,2020-06-09,AUD,11.45,2021-06-09,12.87,12.4,9.0,2020-06-09,11.45,OPEN,0.0,0.0,0.0,0.0
+,ASX-CCP,2020-06-09,AUD,20.94,2021-06-09,28.44,35.82,25.0,2020-06-09,20.94,OPEN,0.0,0.0,0.0,0.0
+,ASX-CCP,2020-06-09,AUD,20.94,2021-06-09,29.62,41.45,29.0,2020-06-09,20.94,OPEN,0.0,0.0,0.0,0.0
+,ASX-CCP,2020-06-09,AUD,20.94,2021-06-09,28.31,35.2,24.0,2020-06-09,20.94,OPEN,0.0,0.0,0.0,0.0
+,ASX-CCP,2020-06-09,AUD,20.94,2021-06-09,30.4,45.18,31.0,2020-06-09,20.94,OPEN,0.0,0.0,0.0,0.0
+,ASX-CTD,2020-06-09,AUD,14.2,2021-06-09,18.92,33.24,23.0,2020-06-09,14.2,OPEN,0.0,0.0,0.0,0.0
+,ASX-GOZ,2020-06-09,AUD,3.27,2021-06-09,3.51,7.34,5.0,2020-06-09,3.27,OPEN,0.0,0.0,0.0,0.0
+,ASX-GOZ,2020-06-09,AUD,3.27,2021-06-09,3.39,3.67,3.0,2020-06-09,3.27,OPEN,0.0,0.0,0.0,0.0
+,ASX-GOZ,2020-06-09,AUD,3.27,2021-06-09,3.47,6.12,4.0,2020-06-09,3.27,OPEN,0.0,0.0,0.0,0.0
+,ASX-GOZ,2020-06-09,AUD,3.27,2021-06-09,3.43,4.89,3.0,2020-06-09,3.27,OPEN,0.0,0.0,0.0,0.0
+,ASX-GOZ,2020-06-09,AUD,3.27,2021-06-09,3.41,4.28,3.0,2020-06-09,3.27,OPEN,0.0,0.0,0.0,0.0
+,ASX-MPL,2020-06-09,AUD,2.9,2021-06-09,3.65,25.86,18.0,2020-06-09,2.9,OPEN,0.0,0.0,0.0,0.0
+,ASX-NCM,2020-06-09,AUD,28.39,2021-06-09,32.98,16.17,11.0,2020-06-09,28.39,OPEN,0.0,0.0,0.0,0.0
+,ASX-NST,2020-06-09,AUD,12.81,2021-06-09,19.51,52.3,36.0,2020-06-09,12.81,OPEN,0.0,0.0,0.0,0.0
+,ASX-SDF,2020-06-09,AUD,3.24,2021-06-09,3.74,15.43,11.0,2020-06-09,3.24,OPEN,0.0,0.0,0.0,0.0
+,ASX-A2M,2020-06-09,AUD,17.63,2021-06-09,37.58,113.16,78.0,2020-06-09,17.63,OPEN,0.0,0.0,0.0,0.0
+,ASX-A2M,2020-06-09,AUD,17.63,2021-06-09,42.15,139.08,96.0,2020-06-09,17.63,OPEN,0.0,0.0,0.0,0.0
