NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-A2M,2020-01-22,AUD,15.59,2020-07-05,23.89,53.24,81.0,2020-04-24,18.65,OPEN,19.63,53.0,56.0,37.0
-,ASX-A2M,2020-01-22,AUD,15.59,2020-10-24,34.02,118.22,108.0,2020-04-24,18.65,OPEN,19.63,53.0,34.0,17.0
-,0175.HK,2020-01-22,HKD,14.1,2020-11-15,18.96,34.47,29.0,2020-04-24,11.42,OPEN,-19.01,-52.0,31.0,-55.0
-,NFLX,2020-01-23,USD,349.6,2020-08-04,491.61,40.62,53.0,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-08-10,19.97,30.44,38.0,2020-04-24,18.65,OPEN,21.82,60.0,46.0,72.0
-,ASX-NAN,2020-01-28,AUD,6.83,2020-12-18,9.64,41.14,32.0,2020-04-24,6.38,OPEN,-6.59,-19.0,27.0,-16.0
-,0268.HK,2020-01-29,HKD,8.71,2020-09-12,11.65,33.75,37.0,2020-04-20,11.65,CLOSED,33.75,104.0,36.0,100.0
-,NFLX,2020-01-30,USD,347.74,2020-06-26,495.11,42.38,72.0,2020-02-17,495.11,CLOSED,42.38,593.0,12.0,100.0
-,0175.HK,2020-01-31,HKD,12.54,2020-10-23,18.85,50.32,48.0,2020-04-24,11.42,OPEN,-8.93,-27.0,32.0,-18.0
-,2208.HK,2020-01-31,HKD,8.23,2020-12-26,10.94,32.93,25.0,2020-04-24,7.15,OPEN,-13.12,-39.0,25.0,-40.0
-,0175.HK,2020-01-31,HKD,12.54,2020-11-24,16.86,34.45,29.0,2020-04-24,11.42,OPEN,-8.93,-27.0,28.0,-26.0
-,AMZN,2020-01-31,USD,2008.72,2020-08-08,2650.71,31.96,42.0,2020-04-23,2399.45,OPEN,19.45,59.0,44.0,61.0
-,0857.HK,2020-02-03,HKD,3.38,2020-10-30,5.39,59.47,56.0,2020-04-24,2.69,OPEN,-20.41,-63.0,30.0,-34.0
-,0175.HK,2020-02-03,HKD,12.6,2020-10-26,18.94,50.32,48.0,2020-04-24,11.42,OPEN,-9.37,-29.0,30.0,-19.0
-,0175.HK,2020-02-03,HKD,12.6,2020-11-27,16.94,34.44,29.0,2020-04-24,11.42,OPEN,-9.37,-29.0,27.0,-27.0
-,AMZN,2020-02-03,USD,2004.2,2020-08-13,2651.76,32.31,42.0,2020-04-23,2399.45,OPEN,19.72,62.0,42.0,61.0
-,LULU,2020-02-03,USD,246.37,2020-10-15,324.81,31.84,31.0,2020-04-23,211.64,OPEN,-14.1,-44.0,31.0,-44.0
-,0288.HK,2020-02-04,HKD,7.45,2020-08-14,11.31,51.81,68.0,2020-04-24,7.62,OPEN,2.28,7.0,42.0,4.0
-,2208.HK,2020-02-04,HKD,8.31,2021-01-11,11.08,33.33,25.0,2020-04-24,7.15,OPEN,-13.96,-44.0,23.0,-42.0
-,0175.HK,2020-02-04,HKD,12.76,2020-10-27,19.18,50.31,48.0,2020-04-24,11.42,OPEN,-10.5,-33.0,30.0,-21.0
-,2208.HK,2020-02-04,HKD,8.31,2020-12-30,11.05,32.97,25.0,2020-04-24,7.15,OPEN,-13.96,-44.0,24.0,-42.0
-,0175.HK,2020-02-04,HKD,12.76,2020-11-28,17.16,34.48,29.0,2020-04-24,11.42,OPEN,-10.5,-33.0,27.0,-30.0
-,MA,2020-02-04,USD,329.12,2020-11-19,428.09,30.07,26.0,2020-04-23,255.86,OPEN,-22.26,-71.0,27.0,-74.0
-,0288.HK,2020-02-05,HKD,7.66,2020-08-15,11.63,51.83,68.0,2020-04-24,7.62,OPEN,-0.52,-2.0,41.0,-1.0
-,0175.HK,2020-02-05,HKD,13.06,2020-10-28,19.63,50.31,48.0,2020-04-24,11.42,OPEN,-12.56,-40.0,30.0,-25.0
-,0175.HK,2020-02-05,HKD,13.06,2020-11-29,17.56,34.46,29.0,2020-04-24,11.42,OPEN,-12.56,-40.0,27.0,-36.0
-,ASX-NAN,2020-02-06,AUD,7.15,2021-01-06,9.87,38.04,29.0,2020-04-24,6.38,OPEN,-10.77,-35.0,23.0,-28.0
-,ASX-REA,2020-02-07,AUD,116.9,2020-08-19,153.45,31.27,41.0,2020-04-24,80.27,OPEN,-31.33,-103.0,40.0,-100.0
-,0753.HK,2020-02-07,HKD,6.97,2021-01-30,9.24,32.57,23.0,2020-04-24,5.45,OPEN,-21.81,-71.0,22.0,-67.0
-,V,2020-02-10,USD,205.99,2020-12-25,274.44,33.23,26.0,2020-04-23,166.38,OPEN,-19.23,-66.0,23.0,-58.0
-,ASX-A2M,2020-02-11,AUD,14.89,2020-08-01,22.17,48.89,72.0,2020-04-24,18.65,OPEN,25.25,87.0,42.0,52.0
-,V,2020-02-14,USD,210.29,2020-12-25,282.73,34.45,28.0,2020-04-23,166.38,OPEN,-20.88,-76.0,22.0,-61.0
-,ASX-A2M,2020-02-18,AUD,15.75,2020-07-31,24.14,53.27,82.0,2020-04-24,18.65,OPEN,18.41,70.0,40.0,35.0
-,ASX-A2M,2020-02-18,AUD,15.75,2020-11-19,34.37,118.22,108.0,2020-04-24,18.65,OPEN,18.41,70.0,24.0,16.0
-,0753.HK,2020-02-20,HKD,6.98,2021-02-11,9.25,32.52,23.0,2020-04-24,5.45,OPEN,-21.92,-86.0,18.0,-67.0
-,3898.HK,2020-02-20,HKD,31.0,2020-11-29,41.29,33.19,30.0,2020-04-24,24.1,OPEN,-22.26,-88.0,23.0,-67.0
-,0857.HK,2020-02-25,HKD,3.19,2020-11-20,5.09,59.56,56.0,2020-04-24,2.69,OPEN,-15.67,-67.0,22.0,-26.0
-,MA,2020-02-28,USD,290.25,2020-11-21,394.74,36.0,34.0,2020-04-23,255.86,OPEN,-11.85,-54.0,21.0,-33.0
